County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Autauga County,"142,792",651,690,730
Baldwin County,"210,870",962,"1,019","1,078"
Barbour County,"94,248",430,455,482
Bibb County,"112,903",515,545,577
Blount County,"130,775",596,632,668
Bullock County,"70,501",321,341,360
Butler County,"93,720",427,453,479
Calhoun County,"127,890",583,618,654
Chambers County,"91,187",416,441,466
Cherokee County,"122,743",560,593,627
Chilton County,"105,519",481,510,539
Choctaw County,"72,823",332,352,372
Clarke County,"98,680",450,477,504
Clay County,"94,248",430,455,482
Cleburne County,"117,994",538,570,603
Coffee County,"155,989",711,754,797
Colbert County,"111,579",509,539,570
Conecuh County,"80,316",366,388,410
Coosa County,"92,137",420,445,471
Covington County,"101,530",463,491,519
Crenshaw County,"81,055",370,392,414
Cullman County,"130,553",595,631,667
Dale County,"113,984",520,551,582
Dallas County,"85,277",389,412,436
DeKalb County,"120,844",551,584,618
Elmore County,"158,269",722,765,809
Escambia County,"99,736",455,482,510
Etowah County,"120,944",552,584,618
Fayette County,"87,810",400,424,449
Franklin County,"92,453",422,447,472
Geneva County,"93,599",427,452,478
Greene County,"71,073",324,343,363
Hale County,"93,224",425,450,476
Henry County,"120,037",547,580,613
Houston County,"147,968",675,715,756
Jackson County,"110,817",505,535,566
Jefferson County,"171,442",782,828,876
Lamar County,"75,461",344,365,386
Lauderdale County,"148,909",679,719,761
Lawrence County,"101,239",462,489,517
Lee County,"171,163",781,827,875
Limestone County,"168,090",767,812,859
Lowndes County,"62,908",287,304,321
Alabama,,,,
Macon County,"81,372",371,393,416
Madison County,"193,436",882,935,988
Marengo County,"92,981",424,449,475
Marion County,"92,031",420,445,470
Marshall County,"128,337",585,620,656
Mobile County,"140,453",640,679,718
Monroe County,"92,876",424,449,475
Montgomery County,"128,013",584,618,654
Morgan County,"146,678",669,709,750
Perry County,"72,928",333,352,373
Pickens County,"96,886",442,468,495
Pike County,"115,250",526,557,589
Randolph County,"89,920",410,434,460
Russell County,"119,847",547,579,612
St. Clair County,"155,496",709,751,795
Shelby County,"221,847","1,012","1,072","1,134"
Sumter County,"73,351",334,354,375
Talladega County,"108,918",497,526,557
Tallapoosa County,"112,928",515,546,577
Tuscaloosa County,"175,740",801,849,898
Walker County,"111,405",508,538,569
Washington County,"88,548",404,428,452
Wilcox County,"86,121",393,416,440
Winston County,"87,493",399,423,447
Aleutians East Borough,"129,491",590,626,662
Aleutians West Census Area,"247,974","1,131","1,198","1,267"
Anchorage Municipality,"321,206","1,465","1,552","1,641"
Bethel Census Area,"158,463",723,766,810
Bristol Bay Borough,"193,873",884,937,991
Denali Borough,"232,813","1,062","1,125","1,190"
Dillingham Census Area,"196,780",897,951,"1,006"
Fairbanks North Star Borough,"243,867","1,112","1,178","1,246"
Haines Borough,"252,439","1,151","1,220","1,290"
Juneau City and Borough,"356,281","1,625","1,721","1,821"
Kenai Peninsula Borough,"243,613","1,111","1,177","1,245"
Ketchikan Gateway Borough,"275,908","1,258","1,333","1,410"
Kodiak Island Borough,"277,984","1,268","1,343","1,421"
Lake and Peninsula Borough,"123,053",561,595,629
Matanuska-Susitna Borough,"254,958","1,163","1,232","1,303"
Nome Census Area,"148,494",677,717,759
North Slope Borough,"159,813",729,772,817
Northwest Arctic Borough,"151,401",690,731,774
Sitka City and Borough,"364,381","1,662","1,760","1,862"
Southeast Fairbanks Census Area,"199,065",908,962,"1,017"
Valdez-Cordova Census Area,"261,889","1,194","1,265","1,338"
Yakutat City and Borough,"192,107",876,928,982
Yukon-Koyukuk Census Area,"83,696",382,404,428
Alabama Alaska,,,,
Apache County,"51,798",236,250,265
Cochise County,"163,155",744,788,834
Coconino County,"297,468","1,357","1,437","1,520"
Gila County,"161,057",734,778,823
Graham County,"129,496",591,626,662
Greenlee County,"91,748",418,443,469
La Paz County,"81,158",370,392,415
Maricopa County,"285,478","1,302","1,379","1,459"
Mohave County,"179,857",820,869,919
Navajo County,"145,644",664,704,744
Pima County,"198,125",903,957,"1,012"
Pinal County,"200,224",913,967,"1,023"
Santa Cruz County,"145,120",662,701,742
Yavapai County,"292,818","1,335","1,415","1,496"
Yuma County,"140,704",642,680,719
Arkansas County,"83,686",382,404,428
Ashley County,"71,076",324,343,363
Baxter County,"129,646",591,626,663
Benton County,"193,647",883,936,990
Boone County,"121,517",554,587,621
Bradley County,"77,433",353,374,396
Calhoun County,"73,994",337,357,378
Carroll County,"126,206",576,610,645
Chicot County,"65,657",299,317,336
Clark County,"99,006",451,478,506
Clay County,"72,952",333,352,373
Cleburne County,"132,355",604,639,676
Cleveland County,"90,337",412,436,462
Columbia County,"79,413",362,384,406
Conway County,"102,862",469,497,526
Craighead County,"141,778",647,685,724
Crawford County,"120,355",549,581,615
Crittenden County,"114,774",523,555,587
Cross County,"82,748",377,400,423
Dallas County,"67,220",307,325,343
Desha County,"59,091",269,285,302
Drew County,"97,130",443,469,496
Faulkner County,"167,462",764,809,856
Franklin County,"96,926",442,468,495
Fulton County,"95,150",434,460,486
Garland County,"147,608",673,713,754
Grant County,"125,191",571,605,640
Greene County,"115,055",525,556,588
Hempstead County,"79,413",362,384,406
Hot Spring County,"92,649",422,448,473
Howard County,"98,068",447,474,501
Independence County,"108,802",496,526,556
Arizona Arkansas,,,,
Izard County,"82,748",377,400,423
Jackson County,"63,885",291,309,326
Jefferson County,"88,887",405,429,454
Johnson County,"99,423",453,480,508
Lafayette County,"68,679",313,332,351
Lawrence County,"80,351",366,388,411
Lee County,"69,929",319,338,357
Lincoln County,"68,478",312,331,350
Little River County,"75,453",344,365,386
Logan County,"94,212",430,455,481
Lonoke County,"145,262",662,702,742
Madison County,"116,403",531,562,595
Marion County,"122,246",557,591,625
Miller County,"114,110",520,551,583
Mississippi County,"84,832",387,410,434
Monroe County,"56,798",259,274,290
Montgomery County,"100,986",461,488,516
Nevada County,"65,344",298,316,334
Newton County,"95,462",435,461,488
Ouachita County,"70,763",323,342,362
Perry County,"100,457",458,485,513
Phillips County,"69,929",319,338,357
Pike County,"81,914",374,396,419
Poinsett County,"80,633",368,390,412
Polk County,"90,773",414,439,464
Pope County,"131,417",599,635,672
Prairie County,"68,054",310,329,348
Pulaski County,"158,440",723,765,810
Randolph County,"84,937",387,410,434
St. Francis County,"64,510",294,312,330
Saline County,"156,210",712,755,798
Scott County,"72,743",332,351,372
Searcy County,"93,482",426,452,478
Sebastian County,"133,407",608,645,682
Sevier County,"78,579",358,380,402
Sharp County,"83,269",380,402,426
Stone County,"111,825",510,540,571
Union County,"83,269",380,402,426
Van Buren County,"103,070",470,498,527
Washington County,"184,743",842,893,944
White County,"123,393",563,596,631
Woodruff County,"66,386",303,321,339
Yell County,"104,529",477,505,534
Alameda County,"899,885","4,104","4,348","4,599"
Alpine County,"367,098","1,674","1,774","1,876"
Amador County,"297,479","1,357","1,437","1,520"
Butte County,"290,347","1,324","1,403","1,484"
Arkansas California,,,,
Calaveras County,"291,927","1,331","1,410","1,492"
Colusa County,"238,752","1,089","1,154","1,220"
Contra Costa County,"740,072","3,375","3,576","3,782"
Del Norte County,"198,498",905,959,"1,014"
