Autauga County,5.1,12.4,34.3,28.7,24.6,142792
Baldwin County,6.8,10.0,28.7,31.8,29.5,115804
Barbour County,6.8,26.2,34.9,26.0,12.9,104491
Bibb County,5.9,19.3,41.8,26.9,12.0,124269
Blount County,4.4,20.0,32.9,34.0,13.1,188916
Bullock County,6.9,33.4,34.1,22.2,10.3,70501
Butler County,5.1,18.9,39.9,25.1,16.1,224851
Calhoun County,12.8,17.7,32.1,32.6,17.7,82498
Chambers County,6.1,19.7,39.4,28.4,12.5,184581
Cherokee County,5.1,18.7,36.0,31.4,14.0,105476
Chilton County,5.5,19.9,41.3,24.0,14.9,105519
Choctaw County,7.6,21.1,37.3,29.6,12.0,90794
Clarke County,3.6,19.0,45.1,23.8,12.1,353479
Clay County,10.4,25.4,34.6,29.0,11.1,78637
Cleburne County,5.9,25.8,38.0,24.7,11.5,132355
Coffee County,4.7,14.9,29.3,32.1,23.7,128467
Colbert County,7.0,16.6,34.8,30.1,18.5,111579
Conecuh County,8.4,20.6,46.2,24.6,8.7,80316
Coosa County,6.0,27.1,36.3,26.7,9.9,92137
Covington County,5.5,19.1,34.4,31.6,14.9,80185
Crenshaw County,5.9,21.7,38.5,25.1,14.6,81055
Cullman County,5.0,17.8,35.1,32.1,15.0,130553
Dale County,5.8,14.2,33.1,36.7,16.1,113984
Dallas County,4.0,21.0,36.5,28.8,13.8,191696
DeKalb County,5.6,27.4,34.3,27.0,11.4,142729
Elmore County,4.1,13.2,35.4,29.1,22.2,159807
Escambia County,4.9,19.5,43.4,25.4,11.6,158976
Etowah County,5.9,17.5,32.5,33.4,16.5,120944
Fayette County,7.9,20.8,39.0,26.0,14.1,89209
Franklin County,7.3,24.3,36.7,26.6,12.4,235602
Geneva County,5.8,22.3,36.0,30.1,11.7,93599
Greene County,3.3,23.1,41.0,26.0,10.0,257935
Hale County,5.6,18.6,42.8,24.6,14.0,86142
Henry County,5.6,19.3,36.1,28.4,16.1,96467
Houston County,4.6,15.1,32.1,31.8,21.0,86142
Jackson County,4.4,20.5,41.1,25.8,12.6,138881
Jefferson County,3.9,11.0,26.5,31.1,31.4,205423
Lamar County,4.6,22.6,35.4,29.0,13.1,94628
Lauderdale County,7.7,15.1,34.6,28.6,21.7,88185
Lawrence County,5.7,22.5,39.9,27.4,10.3,107564
Lee County,6.9,11.3,24.5,29.8,34.4,83577
Limestone County,5.6,16.8,32.0,27.9,23.3,91083
Lowndes County,6.1,25.2,37.7,24.9,12.3,127510
Macon County,4.3,19.5,31.2,29.2,20.0,124213
Madison County,3.2,9.2,20.9,29.2,40.7,262393
Marengo County,7.2,16.1,40.2,28.8,14.8,92981
Marion County,6.5,20.1,35.0,32.5,12.5,113680
Marshall County,8.0,21.4,31.9,30.1,16.6,104355
Mobile County,6.6,14.2,32.6,30.7,22.5,140453
Monroe County,3.8,18.0,45.1,24.6,12.4,154658
Montgomery County,4.2,14.5,25.4,28.7,31.5,251623
Morgan County,4.4,17.5,30.1,31.0,21.4,182401
Perry County,6.3,23.6,39.5,22.4,14.5,91668
Pickens County,5.0,18.9,39.9,30.1,11.1,170417
Pike County,6.4,20.0,32.7,23.3,24.0,194217
Randolph County,6.0,22.7,36.4,25.5,15.4,103045
Russell County,6.5,17.4,31.2,34.4,17.0,97080
St. Clair County,6.3,16.5,36.1,31.3,16.1,82494
Shelby County,6.0,8.4,21.0,29.1,41.4,78516
Sumter County,5.8,20.0,41.6,20.3,18.1,141754
Talladega County,6.6,20.2,35.7,31.0,13.1,108918
Tallapoosa County,5.6,20.4,35.3,27.0,17.3,112928
Tuscaloosa County,5.7,11.9,30.3,28.4,29.4,175740
Walker County,5.2,21.4,36.6,31.4,10.5,167989
Washington County,3.3,20.3,45.8,24.3,9.6,248821
Wilcox County,7.2,20.1,44.9,23.6,11.3,74293
Winston County,7.1,24.0,34.3,28.6,13.1,80185
Alaska,6.9,7.7,27.7,35.8,28.8,0
Aleutian Islands,0.0,-1.0,-1.0,-1.0,-1.0,0
Aleutians East Borough,2.7,15.6,42.0,30.4,11.9,129491
Aleutians West Census Area,3.3,12.5,40.3,31.5,15.7,247974
Anchorage Municipality,0.0,6.7,24.0,35.0,34.3,321206
Bethel Census Area,14.3,19.1,45.4,24.1,11.4,158463
Bristol Bay Borough,7.0,7.4,34.8,38.7,19.1,193873
Denali Borough,9.1,3.8,23.4,34.3,38.5,232813
Dillingham Census Area,9.7,13.2,36.9,32.4,17.6,196780
Fairbanks North Star Borough,5.9,5.6,22.2,38.8,33.4,243867
Haines Borough,10.3,4.5,25.7,29.3,40.4,252439
Hoonah-Angoon Census Area,11.9,9.4,33.9,32.4,24.3,0
Juneau City and Borough,0.0,4.4,21.2,35.0,39.4,356281
Kenai Peninsula Borough,8.6,7.3,32.2,36.9,23.7,243613
Ketchikan Gateway Borough,6.6,8.0,31.7,36.5,23.8,275908
Kodiak Island Borough,5.2,9.3,27.3,38.5,24.9,277984
Kusilvak Census Area,21.7,21.6,52.2,21.4,4.8,0
Kuskokwim Division,0.0,-1.0,-1.0,-1.0,-1.0,0
Lake and Peninsula Borough,12.6,13.7,42.5,31.4,12.5,123053
Matanuska-Susitna Borough,8.3,7.6,31.8,40.0,20.6,254958
Nome Census Area,12.8,15.1,43.1,27.9,13.9,148494
North Slope Borough,6.8,11.6,37.8,36.3,14.2,159813
Northwest Arctic Borough,16.1,20.9,45.0,23.4,10.8,151401
Petersburg Census Area,0.0,7.6,33.7,33.7,25.0,0
Prince of Wales-Hyder Census Area,12.3,9.5,39.1,35.6,15.8,0
Prince of Wales-Outer Ketchikan Census Area,0.0,-1.0,-1.0,-1.0,-1.0,0
Sitka City and Borough,0.0,7.4,25.7,34.6,32.4,364381
Skagway Municipality,11.3,3.5,24.9,37.9,33.7,0
Skagway-Yakutat-Angoon Census Area,0.0,-1.0,-1.0,-1.0,-1.0,0
Skagway-Hoonah-Angoon Census Area,0.0,-1.0,-1.0,-1.0,-1.0,0
Southeast Fairbanks Census Area,10.8,9.3,33.4,38.1,19.2,199065
Upper Yukon Division,0.0,-1.0,-1.0,-1.0,-1.0,0
Valdez-Cordova Census Area,8.6,7.2,27.3,35.4,30.1,261889
Wrangell City and Borough,0.0,11.9,34.3,33.6,20.3,0
Wrangell-Petersburg Census Area,0.0,-1.0,-1.0,-1.0,-1.0,0
Yakutat City and Borough,0.0,5.5,40.8,33.9,19.7,192107
Yukon-Koyukuk Census Area,18.0,17.1,39.9,30.7,12.3,83696
Arizona,5.4,13.8,24.3,34.0,28.0,0
Apache County,11.5,21.8,33.5,33.7,11.1,51798
Cochise County,6.2,13.4,23.2,40.2,23.2,163155
Coconino County,6.0,11.1,21.6,33.1,34.2,297468
Gila County,7.2,15.7,28.7,37.9,17.7,161057
Graham County,8.8,14.6,32.9,39.2,13.3,133549
Greenlee County,7.6,12.1,36.8,38.9,12.2,91748
La Paz County,6.0,24.8,36.4,28.3,10.4,81158
Maricopa County,4.6,13.1,22.9,33.0,31.0,285478
Mohave County,6.6,16.1,36.0,36.0,11.9,179857
Navajo County,8.2,18.5,30.3,36.7,14.5,145644
Pima County,5.0,12.3,22.6,34.4,30.8,198125
Pinal County,5.5,15.1,29.2,37.2,18.5,200224
Santa Cruz County,7.0,25.2,26.2,26.1,22.5,844402
Yavapai County,4.9,9.8,25.8,38.8,25.5,292818
Yuma County,2.1,28.3,25.6,31.8,14.4,166188
Arkansas,3.9,14.8,34.7,29.0,21.5,0
Arkansas County,3.4,17.5,40.6,27.5,14.4,83686
Ashley County,6.2,16.1,39.7,30.6,13.6,71076
Baxter County,4.3,12.8,34.4,35.1,17.7,129646
Benton County,6.2,12.8,30.5,26.0,30.7,268153
Boone County,9.1,15.0,34.6,35.4,15.0,71380
Bradley County,4.4,20.1,41.5,24.2,14.2,174880
Calhoun County,12.8,16.8,49.6,21.6,12.0,82498
Carroll County,5.2,16.2,34.9,31.2,17.7,109765
Chicot County,6.5,19.9,42.0,24.9,13.1,65657
Clark County,3.9,13.5,30.9,30.9,24.7,126002
Clay County,10.4,20.9,42.4,25.4,11.3,78637
Cleburne County,5.9,16.7,38.2,29.7,15.4,132355
Cleveland County,3.8,13.9,43.9,26.5,15.7,170332
Columbia County,3.6,14.8,39.2,24.0,21.9,195427
Conway County,5.7,15.0,42.3,25.8,16.9,102862
Craighead County,3.2,12.0,34.2,28.3,25.4,141778
Crawford County,4.9,14.7,40.0,31.8,13.6,136305
Crittenden County,5.1,18.2,35.6,28.8,17.4,89184
Cross County,4.4,19.3,44.0,21.9,14.7,82748
Dallas County,4.0,16.6,48.9,21.9,12.7,191696
Desha County,5.4,23.9,39.7,23.3,13.2,59091
Drew County,5.8,18.4,36.9,24.9,19.8,97130
Faulkner County,3.8,8.9,30.7,31.3,29.1,167462
Franklin County,7.3,18.9,40.8,27.3,13.0,235602
Fulton County,6.3,16.1,40.7,32.2,11.0,162675
Garland County,4.3,11.6,31.3,36.4,20.6,147608
Grant County,3.9,10.0,41.6,28.6,19.8,147252
Greene County,3.3,14.7,43.0,25.8,16.4,257935
Hempstead County,3.8,21.3,38.0,28.1,12.6,79413
Hot Spring County,3.9,14.1,41.6,30.8,13.5,92649
Howard County,5.5,20.6,33.8,29.9,15.7,92050
Independence County,4.9,15.5,37.5,29.3,17.6,108802
Izard County,5.6,16.1,40.7,30.8,12.4,82748
Jackson County,4.4,23.4,42.1,25.9,8.6,138881
Jefferson County,3.9,15.7,38.4,28.8,17.0,205423
Johnson County,5.3,21.0,43.1,20.0,15.9,266686
Lafayette County,3.2,19.8,42.7,23.8,13.7,135876
Lawrence County,5.7,18.3,41.2,27.2,13.4,107564
Lee County,6.9,30.7,38.6,22.6,8.2,83577
Lincoln County,4.6,20.9,50.2,21.0,7.8,215167
Little River County,4.6,14.0,40.6,35.7,9.7,75453
Logan County,10.2,17.2,43.9,25.9,13.0,88590
Lonoke County,3.3,11.9,33.9,34.7,19.5,145262
Madison County,3.2,19.6,47.1,21.9,11.3,262393
Marion County,6.5,14.0,39.4,31.2,15.3,113680
Miller County,5.2,14.5,39.2,31.8,14.5,132936
Mississippi County,6.7,19.6,36.8,30.9,12.6,77135
Monroe County,3.8,21.8,41.7,27.4,9.1,154658
Montgomery County,4.2,20.2,35.4,31.8,12.5,251623
Nevada County,4.8,16.9,45.0,23.1,15.1,466827
Newton County,7.9,19.6,40.7,24.9,14.8,78731
Ouachita County,5.0,13.8,42.6,26.9,16.6,70763
Perry County,6.3,17.8,43.0,28.6,10.6,91668
Phillips County,5.3,23.6,31.4,33.3,11.7,129078
Pike County,6.4,18.6,35.6,31.0,14.8,194217
Poinsett County,4.3,21.3,42.5,26.7,9.6,80633
Polk County,4.6,15.7,36.9,35.1,12.3,169898
Pope County,3.5,16.5,33.8,28.4,21.3,176220
Prairie County,3.2,17.6,43.4,26.0,13.0,110341
Pulaski County,6.0,9.9,27.1,30.1,32.9,147405
Randolph County,6.0,16.7,38.3,31.3,13.7,103045
St. Francis County,5.2,22.0,38.7,28.8,10.4,64510
Saline County,3.1,10.7,33.4,31.3,24.5,100649
Scott County,4.9,23.6,38.5,27.4,10.6,94545
Searcy County,4.5,15.4,42.1,28.1,14.4,93482
Sebastian County,3.7,17.5,31.9,31.8,18.8,133407
Sevier County,4.4,30.4,34.6,25.7,9.4,167489
Sharp County,5.4,16.8,43.2,30.0,10.1,83269
Stone County,7.0,23.5,35.1,27.0,14.4,168771
Union County,5.8,16.3,36.0,28.6,19.2,122930
Van Buren County,6.1,15.7,45.2,25.5,13.6,103426
Washington County,3.3,15.8,27.5,25.5,31.2,248821
White County,5.0,16.0,38.2,26.5,19.3,106366
Woodruff County,5.4,24.5,45.4,19.9,10.2,66386
Yell County,4.4,22.1,40.9,22.6,14.4,104529
California,5.5,17.9,20.6,29.5,32.0,0
Alameda County,4.3,12.7,18.0,25.4,43.9,899885
Alpine County,6.5,8.9,32.5,28.9,29.7,367098
Amador County,6.0,11.7,26.8,40.1,21.5,297479
Butte County,3.5,11.7,22.7,39.4,26.1,129369
Calaveras County,5.7,9.6,27.2,43.0,20.2,291927
Colusa County,15.6,31.9,21.8,31.8,14.4,238752
Contra Costa County,4.5,10.9,18.2,30.6,40.3,740072
Del Norte County,7.5,17.8,30.7,36.5,14.9,198498
El Dorado County,5.1,7.4,21.8,37.9,33.0,518090
Fresno County,9.5,26.2,22.7,31.3,19.7,270043
Glenn County,8.3,27.5,27.9,32.0,12.7,229142
Humboldt County,5.3,9.7,24.7,37.4,28.2,185884
Imperial County,23.6,33.0,22.5,30.6,14.0,214933
Inyo County,5.3,11.5,31.2,32.8,24.5,259574
Kern County,10.4,26.4,27.2,30.7,15.7,219620
Kings County,5.3,27.1,26.4,33.7,12.8,743191
Lake County,7.8,16.3,27.8,39.7,16.2,81761
Lassen County,6.9,18.6,30.9,38.0,12.5,189528
Los Angeles County,5.3,22.3,20.7,26.3,30.8,647932
Madera County,9.2,28.3,25.9,32.7,13.1,268724
Marin County,3.3,6.9,11.3,24.8,57.1,1168353
Mariposa County,6.9,10.5,28.4,38.5,22.6,277085
Mendocino County,5.3,13.5,26.2,36.3,24.1,437677
Merced County,10.6,31.4,25.2,29.7,13.7,284742
Modoc County,7.8,13.6,27.1,41.1,18.3,152797
Mono County,5.4,16.0,18.0,35.4,30.6,332822
Monterey County,7.7,29.1,20.4,26.9,23.6,569751
Napa County,4.3,16.1,18.8,32.1,33.0,677850
Nevada County,4.8,6.7,19.6,39.3,34.4,466827
Orange County,4.1,15.5,17.4,28.6,38.4,240604
Placer County,4.5,5.8,19.2,38.1,36.9,514029
Plumas County,9.7,8.1,23.9,46.1,21.9,244411
Riverside County,6.1,19.5,25.9,33.4,21.2,388215
Sacramento County,5.4,13.2,22.4,35.1,29.3,387826
San Benito County,6.8,21.7,24.6,34.7,19.0,526295
San Bernardino County,5.8,21.2,26.2,33.3,19.3,359487
San Diego County,4.7,13.6,18.8,31.1,36.5,611062
San Francisco County,0.0,12.6,12.5,20.2,54.8,1272168
San Joaquin County,8.1,22.0,26.6,33.2,18.2,390423
San Luis Obispo County,4.3,9.9,19.4,36.7,34.1,619565
San Mateo County,3.0,11.4,15.9,25.6,47.1,1252580
Santa Barbara County,5.1,19.9,17.9,29.9,32.2,606728
Santa Clara County,3.8,12.9,14.8,23.2,49.1,1112008
Santa Cruz County,7.0,13.7,15.5,31.9,39.0,844402
Shasta County,7.0,10.0,25.5,44.4,20.1,266014
Sierra County,8.5,11.0,26.5,42.7,19.8,102118
Siskiyou County,8.5,11.4,25.4,41.0,22.2,188567
Solano County,5.5,12.5,23.5,38.9,25.1,458583
Sonoma County,4.0,12.8,19.4,34.7,33.1,694882
